[2020-11-20 18:11:24.254571][16196:1152][main.cpp:180]debug:Program 0.6.16.6 initialized!
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:198]debug:Compile platforms: Essl 100 .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:199]debug:Compile sources: D:/SGZ/Creator3dItem/Demo_4 - FF/assets/.buildin/effect/BlinnPhong.effect .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:200]debug:Compile output directory: D:/SGZ/Creator3dItem/Demo_4 - FF/minigame/__temp/__effectTemp/c7fb21R-abb109E-a8e91bS-54b4baR .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:201]debug:Compile include directories: D:/SGZ/Creator3dItem/Demo_4 - FF/assets/.buildin/effect, D:/SGZ/Creator3dItem/Demo_4 - FF/minigame/ .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:202]debug:Compile log file directory: D:/SGZ/Creator3dItem/Demo_4 - FF/minigame/__temp/__effect/log/temp .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:203]debug:Compile extra defines:  .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:204]debug:Compile varaint only: false .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:205]debug:Compile template only: false .
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:233]trace:Parsing effect D:/SGZ/Creator3dItem/Demo_4 - FF/assets/.buildin/effect/BlinnPhong.effect ...
[2020-11-20 18:11:24.261552][16196:1152][main.cpp:242]trace:Preprocessing effect D:/SGZ/Creator3dItem/Demo_4 - FF/assets/.buildin/effect/BlinnPhong.effect ...
[2020-11-20 18:11:24.289502][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(7):vs done in 0.028s.
[2020-11-20 18:11:24.290500][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(7):ps done in 0.001s.
[2020-11-20 18:11:24.292470][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(39):vs done in 0.001s.
[2020-11-20 18:11:24.293499][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(39):ps done in 0.001s.
[2020-11-20 18:11:24.294489][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(23):vs done in 0.001s.
[2020-11-20 18:11:24.296460][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(23):ps done in 0.001s.
[2020-11-20 18:11:24.297481][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(15):vs done in 0.001s.
[2020-11-20 18:11:24.298480][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(15):ps done in 0.001s.
[2020-11-20 18:11:24.300448][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(47):vs done in 0.001s.
[2020-11-20 18:11:24.301446][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(47):ps done in 0.002s.
[2020-11-20 18:11:24.302443][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(31):vs done in 0.001s.
[2020-11-20 18:11:24.304438][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(31):ps done in 0.001s.
[2020-11-20 18:11:24.306461][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(11):vs done in 0.002s.
[2020-11-20 18:11:24.307430][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(11):ps done in 0.001s.
[2020-11-20 18:11:24.309425][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(43):vs done in 0.001s.
[2020-11-20 18:11:24.310421][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(43):ps done in 0.002s.
[2020-11-20 18:11:24.311419][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(27):vs done in 0.001s.
[2020-11-20 18:11:24.313414][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(27):ps done in 0.001s.
[2020-11-20 18:11:24.314427][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(19):vs done in 0.001s.
[2020-11-20 18:11:24.315434][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(19):ps done in 0.001s.
[2020-11-20 18:11:24.316406][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(35):vs done in 0.001s.
[2020-11-20 18:11:24.318400][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(35):ps done in 0.002s.
[2020-11-20 18:11:24.320395][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(3):vs done in 0.001s.
[2020-11-20 18:11:24.322399][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(3):ps done in 0.001s.
[2020-11-20 18:11:24.323419][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(908):vs done in 0.001s.
[2020-11-20 18:11:24.325382][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(908):ps done in 0.001s.
[2020-11-20 18:11:24.326379][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(29):vs done in 0.002s.
[2020-11-20 18:11:24.328403][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(29):ps done in 0.002s.
[2020-11-20 18:11:24.330373][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(860):vs done in 0.001s.
[2020-11-20 18:11:24.331414][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(860):ps done in 0.001s.
[2020-11-20 18:11:24.332372][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(45):vs done in 0.001s.
[2020-11-20 18:11:24.334383][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(45):ps done in 0.002s.
[2020-11-20 18:11:24.335355][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(13):vs done in 0.001s.
[2020-11-20 18:11:24.337350][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(13):ps done in 0.002s.
[2020-11-20 18:11:24.339345][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(900):vs done in 0.002s.
[2020-11-20 18:11:24.340342][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(900):ps done in 0.001s.
[2020-11-20 18:11:24.342336][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(21):vs done in 0.001s.
[2020-11-20 18:11:24.343360][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(21):ps done in 0.001s.
[2020-11-20 18:11:24.344356][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(852):vs done in 0.001s.
[2020-11-20 18:11:24.346326][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(852):ps done in 0.001s.
[2020-11-20 18:11:24.347323][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(37):vs done in 0.002s.
[2020-11-20 18:11:24.348355][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(37):ps done in 0.001s.
[2020-11-20 18:11:24.350318][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(5):vs done in 0.001s.
[2020-11-20 18:11:24.351318][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(5):ps done in 0.002s.
[2020-11-20 18:11:24.352334][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(904):vs done in 0.001s.
[2020-11-20 18:11:24.354304][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(904):ps done in 0.002s.
[2020-11-20 18:11:24.356299][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(25):vs done in 0.002s.
[2020-11-20 18:11:24.357297][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(25):ps done in 0.001s.
[2020-11-20 18:11:24.359290][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(856):vs done in 0.002s.
[2020-11-20 18:11:24.360288][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(856):ps done in 0.001s.
[2020-11-20 18:11:24.362282][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(41):vs done in 0.002s.
[2020-11-20 18:11:24.363280][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(41):ps done in 0.001s.
[2020-11-20 18:11:24.365274][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(9):vs done in 0.001s.
[2020-11-20 18:11:24.367269][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(9):ps done in 0.001s.
[2020-11-20 18:11:24.368266][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(896):vs done in 0.002s.
[2020-11-20 18:11:24.370267][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(896):ps done in 0.002s.
[2020-11-20 18:11:24.372256][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(17):vs done in 0.002s.
[2020-11-20 18:11:24.374251][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(17):ps done in 0.001s.
[2020-11-20 18:11:24.375274][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(848):vs done in 0.001s.
[2020-11-20 18:11:24.377273][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(848):ps done in 0.001s.
[2020-11-20 18:11:24.378240][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(33):vs done in 0.001s.
[2020-11-20 18:11:24.379237][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(33):ps done in 0.001s.
[2020-11-20 18:11:24.381232][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(1):vs done in 0.002s.
[2020-11-20 18:11:24.383227][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(1):ps done in 0.001s.
[2020-11-20 18:11:24.384224][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(596):vs done in 0.001s.
[2020-11-20 18:11:24.385222][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(596):ps done in 0.001s.
[2020-11-20 18:11:24.387216][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(293):vs done in 0.001s.
[2020-11-20 18:11:24.388241][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(293):ps done in 0.002s.
[2020-11-20 18:11:24.390236][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(485):vs done in 0.002s.
[2020-11-20 18:11:24.392203][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(485):ps done in 0.001s.
[2020-11-20 18:11:24.393227][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(30):vs done in 0.001s.
[2020-11-20 18:11:24.395195][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(30):ps done in 0.001s.
[2020-11-20 18:11:24.396198][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(46):vs done in 0.002s.
[2020-11-20 18:11:24.397238][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(46):ps done in 0.001s.
[2020-11-20 18:11:24.399210][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(644):vs done in 0.002s.
[2020-11-20 18:11:24.400195][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(644):ps done in 0.001s.
[2020-11-20 18:11:24.402176][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(277):vs done in 0.001s.
[2020-11-20 18:11:24.404171][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(277):ps done in 0.001s.
[2020-11-20 18:11:24.406177][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(405):vs done in 0.001s.
[2020-11-20 18:11:24.407197][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(405):ps done in 0.001s.
[2020-11-20 18:11:24.409158][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(14):vs done in 0.001s.
[2020-11-20 18:11:24.410190][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(14):ps done in 0.002s.
[2020-11-20 18:11:24.411152][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(652):vs done in 0.001s.
[2020-11-20 18:11:24.413147][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(652):ps done in 0.001s.
[2020-11-20 18:11:24.414144][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(285):vs done in 0.001s.
[2020-11-20 18:11:24.416139][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(285):ps done in 0.001s.
[2020-11-20 18:11:24.417136][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(413):vs done in 0.001s.
[2020-11-20 18:11:24.418153][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(413):ps done in 0.001s.
[2020-11-20 18:11:24.420128][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(22):vs done in 0.001s.
[2020-11-20 18:11:24.422123][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(22):ps done in 0.001s.
[2020-11-20 18:11:24.423120][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(604):vs done in 0.002s.
[2020-11-20 18:11:24.425114][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(604):ps done in 0.001s.
[2020-11-20 18:11:24.426112][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(301):vs done in 0.001s.
[2020-11-20 18:11:24.428134][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(301):ps done in 0.001s.
[2020-11-20 18:11:24.430112][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(732):vs done in 0.002s.
[2020-11-20 18:11:24.431106][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(732):ps done in 0.002s.
[2020-11-20 18:11:24.432104][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(429):vs done in 0.001s.
[2020-11-20 18:11:24.434103][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(429):ps done in 0.002s.
[2020-11-20 18:11:24.435101][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(38):vs done in 0.001s.
[2020-11-20 18:11:24.438080][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(38):ps done in 0.002s.
[2020-11-20 18:11:24.439105][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(269):vs done in 0.002s.
[2020-11-20 18:11:24.441098][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(269):ps done in 0.001s.
[2020-11-20 18:11:24.442070][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(397):vs done in 0.001s.
[2020-11-20 18:11:24.444064][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(397):ps done in 0.002s.
[2020-11-20 18:11:24.446059][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(6):vs done in 0.001s.
[2020-11-20 18:11:24.447056][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(6):ps done in 0.001s.
[2020-11-20 18:11:24.448054][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(481):vs done in 0.001s.
[2020-11-20 18:11:24.450073][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(481):ps done in 0.001s.
[2020-11-20 18:11:24.451072][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(26):vs done in 0.001s.
[2020-11-20 18:11:24.452043][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(26):ps done in 0.001s.
[2020-11-20 18:11:24.454039][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(42):vs done in 0.002s.
[2020-11-20 18:11:24.456072][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(42):ps done in 0.001s.
[2020-11-20 18:11:24.457030][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(401):vs done in 0.001s.
[2020-11-20 18:11:24.459034][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(401):ps done in 0.001s.
[2020-11-20 18:11:24.460049][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(10):vs done in 0.002s.
[2020-11-20 18:11:24.462015][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(10):ps done in 0.001s.
[2020-11-20 18:11:24.463041][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(409):vs done in 0.001s.
[2020-11-20 18:11:24.465034][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(409):ps done in 0.001s.
[2020-11-20 18:11:24.466029][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(18):vs done in 0.001s.
[2020-11-20 18:11:24.467003][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(18):ps done in 0.001s.
[2020-11-20 18:11:24.468998][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(728):vs done in 0.001s.
[2020-11-20 18:11:24.469994][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(728):ps done in 0.002s.
[2020-11-20 18:11:24.472002][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(425):vs done in 0.002s.
[2020-11-20 18:11:24.473984][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(425):ps done in 0.001s.
